training/actor/actor_loss,training/critic/distill_loss,training/critic/improve_frac,training/critic/mc_loss,training/critic/neg_loss,training/critic/neg_q_mean,training/critic/q_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/critic/total_loss,training/critic/z_mc_target_mean,training/critic/z_mean,training/critic/z_target_mean,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/critic/distill_loss,validation/critic/improve_frac,validation/critic/mc_loss,validation/critic/neg_loss,validation/critic/neg_q_mean,validation/critic/q_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/critic/total_loss,validation/critic/z_mc_target_mean,validation/critic/z_mean,validation/critic/z_target_mean,time/epoch_time,time/total_time,step
1.3761445,0.0,0.00390625,0.03741643,0.751906,0.51337963,2.2141282e-07,0.7999295,0.6195477,0.35692573,0.11260724,-0.3568262,-0.49210364,-0.9014895,0.66393256,-0.64869344,9.612796,1.2521434,0.0,0.015625,0.042474397,0.74990994,0.5136944,0.0002260469,0.79106593,0.61233735,0.3185022,0.11769144,-0.37352574,-0.50307393,-0.9205046,0.011080710887908936,11.080738067626953,1000
1.2733395,0.0,0.017578125,0.04479777,0.6962657,0.47770807,0.00031202237,0.80117744,0.60166466,0.24689049,0.11473636,-0.40482616,-0.52102065,-0.88204694,0.8803212,-1.0274127,14.698478,1.3535024,0.0,0.029296875,0.05440005,0.68737775,0.4761234,0.00038279186,0.7965403,0.5945518,0.20642413,0.12352061,-0.3407637,-0.5333136,-0.8722262,0.004383288860321045,15.46405816078186,2000
1.1572913,0.0,0.0078125,0.034599587,0.79268,0.52188665,0.00022684284,0.82182986,0.650224,0.28725612,0.114094436,-0.4076205,-0.44432878,-0.87912595,1.0606798,-0.5610636,7.5369964,1.2498178,0.0,0.015625,0.042167544,0.72687805,0.4941182,9.819656e-06,0.7824826,0.61475885,0.2523272,0.11486517,-0.34875587,-0.50221336,-0.8820839,0.004573779106140137,20.037860870361328,3000
1.1461605,0.0,0.009765625,0.038529843,0.72248816,0.48354718,0.0002607924,0.7829252,0.64240646,0.24069418,0.11103945,-0.3823191,-0.45271713,-0.8485568,1.6954721,-1.8800939,11.258538,1.0958928,0.0,0.015625,0.034362283,0.7800417,0.5181714,0.0002550724,0.798446,0.6363441,0.3787187,0.11262153,-0.39179248,-0.46266228,-0.90025145,0.003913334369659424,23.951220512390137,4000
1.2048508,0.0,0.01171875,0.033220597,0.72476554,0.47856855,0.0002646596,0.8536592,0.6533397,0.3913533,0.105961815,-0.3582175,-0.4379012,-0.8423195,0.77788574,-2.1212082,9.433328,1.0298076,0.0,0.01171875,0.03940523,0.761104,0.50365984,0.00022765556,0.8144582,0.6391268,0.2418282,0.11574329,-0.36033964,-0.46269777,-0.8730538,0.00420890998840332,28.160152912139893,5000
1.0192547,0.0,0.01953125,0.0416648,0.67913616,0.4591678,8.325816e-06,0.8382138,0.6276751,0.1271269,0.109586746,-0.3794036,-0.47991693,-0.83813465,1.9753602,-1.7955456,14.69652,1.0002549,0.0,0.0078125,0.037894916,0.68938386,0.46896422,1.8898359e-07,0.8465178,0.6342032,0.39940557,0.106833495,-0.35094833,-0.4674104,-0.85529834,0.004017720460891724,32.177895069122314,6000
1.0725247,0.0,0.013671875,0.03922343,0.6631774,0.44895762,0.00021124638,0.83765733,0.6430422,0.3669924,0.10575241,-0.38353452,-0.45223776,-0.84126204,3.5194845,-2.5590942,13.786231,1.0706191,0.0,0.01953125,0.03973079,0.72646534,0.49003223,0.00048195638,0.8107268,0.6337762,0.281147,0.11285928,-0.37756288,-0.46933985,-0.84891427,0.004060473203659058,36.238383769989014,7000
0.98275054,0.0,0.0234375,0.041201588,0.65635216,0.4467757,0.000158087,0.81668615,0.62279,0.14164795,0.1069949,-0.36920723,-0.4889326,-0.8409728,1.038057,-1.146175,7.7995973,1.1341164,0.0,0.029296875,0.044482566,0.66430676,0.45571727,0.00022146072,0.8031435,0.6129246,0.36736977,0.11113471,-0.3660221,-0.5023826,-0.85437095,0.004129339933395385,40.36774492263794,8000
0.9019803,0.0,0.017578125,0.037591428,0.6833756,0.45799005,0.00022764114,0.8017126,0.6425296,0.38637578,0.10615663,-0.371431,-0.45281276,-0.8285904,2.1117032,-2.4099596,12.081987,1.0214477,0.0,0.017578125,0.042194784,0.7338048,0.49132985,3.6524216e-05,0.80277073,0.6301399,0.29783377,0.11561179,-0.3810646,-0.478187,-0.8791299,0.003988629579544068,44.356393337249756,9000
1.0929083,0.0,0.0234375,0.033667095,0.6349249,0.43136466,1.3615903e-05,0.8026496,0.62793475,0.3020148,0.0971732,-0.39088967,-0.47746015,-0.8152802,1.6858665,-2.8421807,13.785679,1.0206025,0.0,0.029296875,0.05699497,0.6436547,0.44533825,0.00012639548,0.77896994,0.5860815,0.23651479,0.121486835,-0.3632434,-0.55032504,-0.86137277,0.004001355171203614,48.35777425765991,10000
