training/actor/actor_loss,training/critic/actor_better_frac,training/critic/distill_loss,training/critic/improve_frac,training/critic/mc_loss,training/critic/q_actor_target_mean,training/critic/q_behavior_target_mean,training/critic/q_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/critic/q_td_target_mean,training/critic/td_loss,training/critic/total_loss,training/critic/z_mc_target_mean,training/critic/z_mean,training/critic/z_target_mean,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/critic/actor_better_frac,validation/critic/distill_loss,validation/critic/improve_frac,validation/critic/mc_loss,validation/critic/q_actor_target_mean,validation/critic/q_behavior_target_mean,validation/critic/q_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/critic/q_td_target_mean,validation/critic/td_loss,validation/critic/total_loss,validation/critic/z_mc_target_mean,validation/critic/z_mean,validation/critic/z_target_mean,time/epoch_time,time/total_time,step
1.3761746,0.54296875,0.0,0.0,0.028802551,0.6363335,0.63463545,0.0,0.76814526,0.65784264,0.5146343,0.6376425,0.00027959948,0.00604011,-0.35682622,-0.42228273,-0.8608403,0.66662765,-0.65193355,9.040719,1.2523273,0.48828125,0.0,0.00390625,0.03496325,0.634881,0.6346293,0.00018610894,0.76627576,0.66762066,0.52629006,0.63813937,0.0006299454,0.007808705,-0.37352574,-0.40701464,-0.8696311,0.013835077762603759,13.835092782974243,1000
1.2728198,0.44140625,0.0,0.009765625,0.033407107,0.6841411,0.6845932,0.00017787474,0.7961518,0.6872922,0.526936,0.6873553,0.00014682917,0.007006125,-0.40482616,-0.37887168,-0.7047886,0.8753997,-1.0201758,13.994856,1.3532922,0.453125,0.0,0.015625,0.029448356,0.6888037,0.68918407,0.0002262614,0.800127,0.688486,0.5364772,0.6911255,8.835572e-05,0.0062042885,-0.3407637,-0.3765309,-0.6890876,0.004435113191604614,18.27023458480835,2000
1.1569974,0.5644531,0.0,0.013671875,0.03279495,0.69838744,0.69721276,0.00015452968,0.8046071,0.6992947,0.48008898,0.7000306,3.869277e-05,0.006752212,-0.4076205,-0.36322242,-0.66958535,1.0359942,-0.54110116,5.4850116,1.2495029,0.5449219,0.0,0.015625,0.026226623,0.70002437,0.69958574,1.3436734e-06,0.7914109,0.69318503,0.47719154,0.7021169,7.824604e-05,0.0053249146,-0.34875587,-0.37084538,-0.66065705,0.004461434602737427,22.731688976287842,3000
1.1458604,0.5488281,0.0,0.00390625,0.034727372,0.70719516,0.70660454,0.00015020857,0.8034898,0.71595967,0.5186958,0.70886743,6.432069e-05,0.0071600038,-0.3823191,-0.3381923,-0.6429666,1.6656708,-1.8510764,10.128756,1.0959767,0.51171875,0.0,0.033203125,0.030280635,0.6951686,0.6950778,0.00015872589,0.7957156,0.69062996,0.51729345,0.69777584,8.798366e-05,0.0063028364,-0.39179248,-0.3753293,-0.6646458,0.0045829124450683595,27.314626455307007,4000
1.204386,0.5449219,0.0,0.01953125,0.026746804,0.709115,0.7084235,0.00015578551,0.8117496,0.7061672,0.5043077,0.71068275,5.2109295e-05,0.005557256,-0.3582175,-0.35287085,-0.6355079,0.7704705,-2.078546,8.204429,1.0295575,0.50390625,0.0,0.021484375,0.029529251,0.69788915,0.6973893,0.00025215084,0.8115107,0.69459486,0.50334495,0.70148224,0.00020597149,0.0063639726,-0.36033964,-0.37023312,-0.6529639,0.004492271661758423,31.806914806365967,5000
1.019108,0.5761719,0.0,0.013671875,0.03036699,0.7056363,0.70461595,8.8046903e-07,0.8227553,0.7095896,0.50297475,0.70714587,0.00010227044,0.006176549,-0.37940362,-0.34775454,-0.6365872,1.9639995,-1.7970448,14.420952,1.0003064,0.5800781,0.0,0.00390625,0.028579108,0.70709914,0.7059199,2.6039851e-08,0.8286237,0.7139944,0.49308437,0.7085363,7.9134865e-05,0.005794983,-0.35094833,-0.34148085,-0.6399976,0.004779947519302368,36.58688473701477,6000
1.0728776,0.5292969,0.0,0.009765625,0.034999378,0.7095266,0.7090653,0.00011270681,0.81515545,0.71393377,0.51422465,0.71197754,0.00015663402,0.0072692167,-0.38353452,-0.3408897,-0.63490427,3.555918,-2.589253,13.443927,1.0711071,0.5449219,0.0,0.0234375,0.031609457,0.70562536,0.7049595,0.00030748468,0.81318367,0.70733315,0.50846434,0.7096313,0.00022179636,0.0068511725,-0.37756288,-0.35121855,-0.6371479,0.004408255577087402,40.99515628814697,7000
0.9829443,0.5527344,0.0,0.0234375,0.030187529,0.7065077,0.7066548,6.912996e-07,0.80330014,0.7006869,0.47514257,0.7088688,9.398836e-05,0.0061321855,-0.36920723,-0.36075187,-0.63870496,1.0331713,-1.1662139,7.0106053,1.1340905,0.49414062,0.0,0.03125,0.034593694,0.7027974,0.7026676,0.0001491775,0.81597227,0.6968982,0.50238913,0.70618296,0.00017198402,0.0072399005,-0.3660221,-0.36630708,-0.6409028,0.004725699901580811,45.720876693725586,8000
0.9017265,0.5546875,0.0,0.013671875,0.030435063,0.71202135,0.7113904,0.00013207905,0.83749324,0.72713304,0.5508428,0.7147465,0.00024812913,0.006467221,-0.37143096,-0.3227938,-0.6253474,2.0902708,-2.3969991,11.668299,1.0214032,0.5703125,0.0,0.0078125,0.032627214,0.6978084,0.696496,1.1815404e-06,0.82128125,0.70170593,0.50563866,0.69959414,0.0001920836,0.0067187077,-0.3810646,-0.36078283,-0.656194,0.004524222135543823,50.245118141174316,9000
1.0925388,0.6269531,0.0,0.021484375,0.029574186,0.71662766,0.7155921,4.6751074e-07,0.829188,0.7120233,0.48426065,0.71829975,6.741511e-05,0.00598272,-0.3908897,-0.34461087,-0.62430847,1.6665273,-2.82089,13.271961,1.0205264,0.5957031,0.0,0.01953125,0.03490451,0.7084245,0.7075927,4.1567046e-06,0.8141504,0.6984762,0.47419414,0.7102358,0.00018265963,0.0071677184,-0.3632434,-0.36413786,-0.6427158,0.0045165719985961915,54.76170992851257,10000
