training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/distill_loss,training/critic/q_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/critic/total_loss,training/critic/z_mean,training/critic/z_target_mean,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/distill_loss,validation/critic/q_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/critic/total_loss,validation/critic/z_mean,validation/critic/z_target_mean,time/epoch_time,time/total_time,step
1.0725495,-2.4183183,0.07254955,0.58044124,72.29544,0.99999994,-72.29544,1.0,0.0,2.9450977,3.2004843e-10,2.0204335e-12,0.0,2.9450977,-71.32074,-76.37386,1.7778714,-1.2801659,22.504032,1.0748065,-2.4935477,0.07480643,0.65567064,70.92403,1.0,-70.92403,1.0,0.0,2.8223853,0.030658701,0.00016436752,0.0,2.8223853,-69.95634,-75.09458,0.010772414684295654,10.772432327270508,1000
1.069778,-2.3259306,0.06977792,0.48805374,79.48375,1.0,-79.48375,1.0,0.0,0.5188712,6.9448807e-09,1.7613189e-11,3.14979e-36,0.5188712,-79.08622,-79.49394,2.994546,-3.3190074,40.035637,1.0703961,-2.346537,0.07039612,0.5086601,79.3634,1.0,-79.3634,1.0,0.0,0.45928812,1.4400107e-08,3.576157e-11,1.8099596e-36,0.45928812,-78.72827,-79.08722,0.0037546203136444092,14.527076721191406,2000
1.0696168,-2.320561,0.06961682,0.48268384,79.80954,1.0,-79.80954,1.0,0.0,0.35721523,1.8704112e-14,3.7232835e-17,7.266656e-36,0.35721523,-79.3905,-79.47165,1.6051613,-3.711657,19.608105,1.0700037,-2.3334594,0.070003785,0.4955825,79.657234,1.0,-79.657234,1.0,0.0,0.220891,9.622153e-16,1.9391618e-18,5.9353536e-36,0.220891,-79.099,-79.861496,0.0038359115123748778,18.36300492286682,3000
1.0701505,-2.3383493,0.07015049,0.50047255,79.74171,1.0,-79.74171,1.0,0.0,0.28352317,1.09882624e-29,4.2675855e-32,4.068985e-36,0.28352317,-79.63961,-79.684906,1.4001266,-1.54467,19.711857,1.0704007,-2.3466885,0.070400655,0.5088115,79.99945,1.0,-79.99945,1.0,0.0,0.07818497,3.115231e-22,6.0918866e-25,5.6091564e-36,0.07818497,-79.85782,-79.99855,0.004084976911544799,22.448001384735107,4000
1.0684229,-2.2807627,0.068422884,0.44288576,79.90794,1.0,-79.90794,1.0,0.0,0.028670525,1.5407219e-30,3.1453132e-33,1.0290484e-35,0.028670525,-79.81473,-79.95888,0.77817047,-0.7961165,10.221481,1.0693163,-2.3105407,0.06931622,0.47266355,80.105804,1.0,-80.105804,1.0,0.0,0.2414577,3.441646e-31,6.923374e-34,5.4355855e-36,0.2414577,-79.95303,-79.68236,0.0036898112297058107,26.13783597946167,5000
1.0685401,-2.2846696,0.06854009,0.4467925,79.984184,1.0,-79.984184,1.0,0.0,0.011728825,1.0346578e-34,2.0552335e-35,4.9504032e-36,0.011728825,-79.90674,-79.99536,1.9956939,-0.93705577,13.447132,1.0677255,-2.2575188,0.06772556,0.41964182,80.05427,1.0,-80.05427,1.0,0.0,0.010761778,1.4880499e-34,1.9330333e-35,7.929635e-36,0.010761778,-79.96736,-79.99829,0.0037137179374694823,29.85158348083496,6000
1.0679278,-2.2642598,0.06792779,0.4263826,79.928375,1.0,-79.928375,1.0,0.0,0.22370045,3.9628443e-35,2.0326767e-35,7.6719574e-36,0.22370045,-79.89389,-79.685104,1.5740737,-0.5605996,10.635274,1.0682006,-2.2733524,0.06820057,0.4354754,80.08635,1.0,-80.08635,1.0,0.0,0.2264809,5.115406e-35,1.8604676e-35,1.1266845e-35,0.2264809,-79.99228,-79.68532,0.003877232074737549,33.728837966918945,7000
1.0684512,-2.281704,0.06845112,0.44382697,80.06656,1.0,-80.06656,1.0,0.0,0.0065002944,4.1169038e-35,1.902283e-35,9.085824e-36,0.0065002944,-79.961914,-79.9982,1.2303336,-3.315041,21.15574,1.0687641,-2.2921367,0.06876409,0.45425949,80.07184,1.0,-80.07184,1.0,0.0,0.010144432,5.5442966e-35,1.9714065e-35,6.6503234e-36,0.010144432,-79.93523,-79.99446,0.0037177047729492186,37.44655990600586,8000
1.0683981,-2.2799377,0.06839813,0.44206086,80.06804,1.0,-80.06804,1.0,0.0,0.22476238,3.746339e-35,1.8870777e-35,9.296251e-36,0.22476238,-79.97218,-79.6851,1.8023592,-1.3420433,23.014097,1.0692091,-2.30697,0.0692091,0.46909285,80.12319,1.0,-80.12319,1.0,0.0,0.22784188,6.106712e-35,1.9082607e-35,8.808634e-36,0.22784188,-79.97142,-79.68408,0.0036849093437194822,41.13150119781494,9000
1.0673479,-2.2449298,0.067347884,0.4070527,80.14933,1.0,-80.14933,1.0,0.0,0.22953689,2.9238147e-34,1.9099559e-35,9.485463e-36,0.22953689,-80.00812,-79.68458,2.3331735,-5.2866864,31.833708,1.067396,-2.2465334,0.067396,0.40865642,80.07802,1.0,-80.07802,1.0,0.0,0.0092807505,5.916977e-35,1.9504175e-35,1.18997975e-35,0.0092807505,-79.94568,-79.9973,0.003773439645767212,44.904964208602905,10000
