grid,safe_length,p_success,method,n,matched_sweeps,success_rate,safe_action_rate,portal_action_rate,regret,portal_overestimate_ratio,long_horizon_mse
8x4,31,0.02,MC positive,5,6,0.022,0.000,1.000,0.515,50.000,0.33661
8x4,31,0.02,MC all goals,5,6,1.000,1.000,0.000,0.000,0.928,0.33789
8x4,31,0.02,Bellman matched,5,6,0.022,0.000,1.000,0.515,0.928,0.53740
8x4,31,0.02,Stochastic TRL,5,6,1.000,1.000,0.000,0.000,0.928,0.26769
8x4,31,0.02,Bellman full,5,6,1.000,1.000,0.000,0.000,0.928,0.26769
8x4,31,0.05,MC positive,5,6,0.052,0.000,1.000,0.486,20.000,0.33606
8x4,31,0.05,MC all goals,5,6,1.000,1.000,0.000,0.000,0.920,0.33736
8x4,31,0.05,Bellman matched,5,6,0.052,0.000,1.000,0.486,0.920,0.53650
8x4,31,0.05,Stochastic TRL,5,6,1.000,1.000,0.000,0.000,0.920,0.26726
8x4,31,0.05,Bellman full,5,6,1.000,1.000,0.000,0.000,0.920,0.26726
16x4,63,0.02,MC positive,5,7,0.022,0.000,1.000,0.260,50.000,0.24407
16x4,63,0.02,MC all goals,5,7,0.800,0.800,0.000,0.056,0.915,0.24448
16x4,63,0.02,Bellman matched,5,7,0.022,0.000,1.000,0.260,0.915,0.37484
16x4,63,0.02,Stochastic TRL,5,7,1.000,1.000,0.000,0.000,0.915,0.19053
16x4,63,0.02,Bellman full,5,7,1.000,1.000,0.000,0.000,0.915,0.19053
16x4,63,0.05,MC positive,5,7,0.048,0.000,1.000,0.231,20.000,0.24390
16x4,63,0.05,MC all goals,5,7,0.800,0.800,0.000,0.056,0.937,0.24432
16x4,63,0.05,Bellman matched,5,7,0.048,0.000,1.000,0.231,0.937,0.37456
16x4,63,0.05,Stochastic TRL,5,7,1.000,1.000,0.000,0.000,0.937,0.19032
16x4,63,0.05,Bellman full,5,7,1.000,1.000,0.000,0.000,0.937,0.19032
16x8,127,0.02,MC positive,5,8,0.022,0.000,1.000,0.057,50.000,0.14916
16x8,127,0.02,MC all goals,5,8,0.000,1.000,0.000,0.077,0.996,0.14924
16x8,127,0.02,Bellman matched,5,8,0.022,0.000,1.000,0.057,0.996,0.22762
16x8,127,0.02,Stochastic TRL,5,8,1.000,1.000,0.000,0.000,0.996,0.11844
16x8,127,0.02,Bellman full,5,8,1.000,1.000,0.000,0.000,0.996,0.11844
16x8,127,0.05,MC positive,5,8,0.050,0.000,1.000,0.028,20.000,0.14913
16x8,127,0.05,MC all goals,5,8,0.000,1.000,0.000,0.077,0.994,0.14920
16x8,127,0.05,Bellman matched,5,8,0.050,0.000,1.000,0.028,0.994,0.22757
16x8,127,0.05,Stochastic TRL,5,8,1.000,1.000,0.000,0.000,0.994,0.11840
16x8,127,0.05,Bellman full,5,8,1.000,1.000,0.000,0.000,0.994,0.11840
